test_lot,rank,feature,mi_score
5,25,current_ForeLinePressure_mean,0.05421510354031178
5,26,current_PlatenRFTuningCapacitor_max,0.0486205280477765
5,27,current_Pressure_mean,0.04621026823955754
5,28,current_Heater2Temp_std,0.04513597405301839
5,29,current_Gas2Flow_min,0.04363894500496923
5,30,current_PlatenRFTuningCapacitor_mean,0.04286039015978771
5,31,current_Gas2Flow_max,0.04268524184538358
5,32,current_SourceRF2PeakToPeak_mean,0.030932433829070183
5,33,current_PlatenRFTuningCapacitor_min,0.025100340752079564
5,34,current_HeliumBPFlow_std,0.024526368239330854
5,35,current_SourceRFLoadPower_max,0.02229951346145609
5,36,current_PlatenDcBias_max,0.018510388753963936
5,37,current_Gas2Flow_std,0.013481517398561849
5,38,current_Pressure_max,0.01106613233011533
5,39,current_EpdIntensity_mean,0.002927898681677865
5,40,current_ForeLinePressure_min,0.0
5,41,current_Gas1Flow_max,0.0
5,42,current_Gas1Flow_mean,0.0
5,43,current_Gas4Flow_max,0.0
5,44,current_Gas4Flow_mean,0.0
5,45,current_Gas5Flow_max,0.0
5,46,current_Gas7Flow_std,0.0
5,47,current_Heater3Temp_max,0.0
5,48,current_Heater3Temp_mean,0.0
5,49,current_Heater3Temp_min,0.0
5,50,current_Heater3Temp_std,0.0
5,51,current_Heater4Temp_std,0.0
5,52,current_HeliumBPPressure_max,0.0
5,53,current_PlatenDcBias_std,0.0
5,54,current_PlatenRFLoadCapacitor_max,0.0
5,55,current_PlatenRFLoadCapacitor_mean,0.0
5,56,current_PlatenRFLoadCapacitor_min,0.0
5,57,current_PlatenRFLoadCapacitor_std,0.0
5,58,current_PlatenRFReflectedPower_max,0.0
5,59,current_PlatenRFReflectedPower_mean,0.0
5,60,current_SourceRFPeakToPeak_max,0.0
5,61,current_SourceRFReflectedPower_std,0.0
6,1,current_Heater2Temp_mean,0.32711474393575357
6,2,current_PlatenRFReflectedPower_std,0.2020026844599485
6,3,current_Gas2Flow_max,0.19901290423743334
6,4,current_Gas7Flow_min,0.1728933059871407
6,5,current_Heater4Temp_mean,0.17168600567388226
6,6,current_HeliumBPFlow_mean,0.15551197862050326
6,7,current_Pressure_min,0.15068263262969261
6,8,current_HeliumBPFlow_max,0.13920801824707318
6,9,current_Gas7Flow_mean,0.133343723543776
6,10,current_HeliumBPPressure_min,0.13279091760728345
6,11,current_HeliumBPFlow_min,0.11867742128774705
6,12,current_SourceRFReflectedPower_mean,0.0898202806959123
6,13,current_ForeLinePressure_min,0.07991915574376707
6,14,current_SourceRFLoadPower_max,0.07629738069342062
6,15,current_Gas7Flow_max,0.07278274257463169
6,16,current_Heater1Temp_mean,0.07277527921213522
6,17,current_HeliumBPFlow_std,0.07158545850582354
6,18,current_PlatenDcBias_min,0.06543879483483472
6,19,current_PlatenDcBias_mean,0.06143180409314963
6,20,current_ForeLinePressure_mean,0.05786524593475506
6,21,current_Pressure_max,0.0549525124097765
6,22,current_Heater2Temp_std,0.05351239090662996
6,23,current_SourceRFPeakToPeak_max,0.04365513631648188
6,24,current_Gas2Flow_mean,0.041945847872499886
6,25,current_PlatenRFPeakToPeak_max,0.039685183366937604
6,26,current_PlatenRFLoadCapacitor_min,0.038439716815348746
